city_1,city_2,paragraph_id,paragraph,article_id,title,NOUN,NOUN_clean,VERB,VERB_clean,ADJ,ADJ_clean
Birmingham,Florence,1,"The first community of adherents of the Baha'i Faith in Alabama was founded in 1896 by Paul K. Dealy, who moved from Chicago to Fairhope. Baha'i centers in Alabama exist in Birmingham, Huntsville, and Florence.",303,Alabama,"['community', 'adherent', 'center']","['community', 'adherent', 'center']","['found', 'move', 'exist']","['found', 'move', 'exist']",[],[]
Florence,Birmingham,2,"The first community of adherents of the Baha'i Faith in Alabama was founded in 1896 by Paul K. Dealy, who moved from Chicago to Fairhope. Baha'i centers in Alabama exist in Birmingham, Huntsville, and Florence.",303,Alabama,"['community', 'adherent', 'center']","['community', 'adherent', 'center']","['found', 'move', 'exist']","['found', 'move', 'exist']",[],[]
Paris,London,3,"A major revision of the work by composer and arranger F. Campbell-Watson simplified the instrumentation by reducing the saxophones to only three instruments: alto, tenor and baritone. The soprano saxophone doublings were eliminated to avoid changing instruments, and the contrabassoon was also deleted. This became the standard performing edition until 2000, when Gershwin specialist Jack Gibbons made his own restoration of the original orchestration of ""An American in Paris"", working directly from Gershwin's original manuscript, including the restoration of Gershwin's soprano saxophone parts removed in Campbell-Watson's revision. Gibbons' restored orchestration of ""An American in Paris"" was performed at London's Queen Elizabeth Hall on July 9, 2000, by the City of Oxford Orchestra conducted by Levon Parikian.",309,An American in Paris,"['revision', 'work', 'composer', 'arranger', 'instrumentation', 'saxophone', 'instrument', 'alto', 'tenor', 'baritone', 'soprano', 'saxophone', 'doubling', 'instrument', 'contrabassoon', 'performing', 'edition', 'specialist', 'restoration', 'orchestration', 'manuscript', 'restoration', 'soprano', 'saxophone', 'part', 'revision', 'gibbon', 'orchestration']","['revision', 'work', 'composer', 'arranger', 'instrumentation', 'saxophone', 'instrument', 'alto', 'tenor', 'baritone', 'soprano', 'saxophone', 'doubling', 'instrument', 'contrabassoon', 'performing', 'edition', 'specialist', 'restoration', 'orchestration', 'manuscript', 'restoration', 'soprano', 'saxophone', 'part', 'revision', 'gibbon', 'orchestration']","['simplify', 'reduce', 'eliminate', 'avoid', 'change', 'delete', 'work', 'include', 'remove', 'restore', 'perform', 'conduct']","['simplify', 'reduce', 'eliminate', 'avoid', 'change', 'delete', 'work', 'include', 'remove', 'restore', 'perform', 'conduct']","['major', 'standard', 'original', 'original']","['major', 'standard', 'original', 'original']"
London,Paris,4,"A major revision of the work by composer and arranger F. Campbell-Watson simplified the instrumentation by reducing the saxophones to only three instruments: alto, tenor and baritone. The soprano saxophone doublings were eliminated to avoid changing instruments, and the contrabassoon was also deleted. This became the standard performing edition until 2000, when Gershwin specialist Jack Gibbons made his own restoration of the original orchestration of ""An American in Paris"", working directly from Gershwin's original manuscript, including the restoration of Gershwin's soprano saxophone parts removed in Campbell-Watson's revision. Gibbons' restored orchestration of ""An American in Paris"" was performed at London's Queen Elizabeth Hall on July 9, 2000, by the City of Oxford Orchestra conducted by Levon Parikian.",309,An American in Paris,"['revision', 'work', 'composer', 'arranger', 'instrumentation', 'saxophone', 'instrument', 'alto', 'tenor', 'baritone', 'soprano', 'saxophone', 'doubling', 'instrument', 'contrabassoon', 'performing', 'edition', 'specialist', 'restoration', 'orchestration', 'manuscript', 'restoration', 'soprano', 'saxophone', 'part', 'revision', 'gibbon', 'orchestration']","['revision', 'work', 'composer', 'arranger', 'instrumentation', 'saxophone', 'instrument', 'alto', 'tenor', 'baritone', 'soprano', 'saxophone', 'doubling', 'instrument', 'contrabassoon', 'performing', 'edition', 'specialist', 'restoration', 'orchestration', 'manuscript', 'restoration', 'soprano', 'saxophone', 'part', 'revision', 'gibbon', 'orchestration']","['simplify', 'reduce', 'eliminate', 'avoid', 'change', 'delete', 'work', 'include', 'remove', 'restore', 'perform', 'conduct']","['simplify', 'reduce', 'eliminate', 'avoid', 'change', 'delete', 'work', 'include', 'remove', 'restore', 'perform', 'conduct']","['major', 'standard', 'original', 'original']","['major', 'standard', 'original', 'original']"
Madrid,Rome,5,"Access to biocapacity in Algeria is lower than world average. In 2016, Algeria had 0.53 global hectares of biocapacity per person within its territory, much less than the world average of 1.6 global hectares per person. In 2016, Algeria used 2.4 global hectares of biocapacity per person - their ecological footprint of consumption. This means they use just under 4.5 times as much biocapacity as Algeria contains. As a result, Algeria is running a biocapacity deficit. In April 2022, diplomats from Italy and Spain held talks after Rome's move to secure large volume of Algerian gas stoked concerns in Madrid. Under the deal between Algeria's Sonatrach and Italy's Eni, Algeria will send an additional 9 billion cubic metres of gas to Italy by next year and in 2024.",358,Algeria,"['access', 'biocapacity', 'world', 'hectare', 'biocapacity', 'person', 'territory', 'world', 'average', 'hectare', 'person', 'hectare', 'biocapacity', 'person', 'footprint', 'consumption', 'time', 'biocapacity', 'result', 'biocapacity', 'deficit', 'diplomat', 'talk', 'volume', 'gas', 'concern', 'deal', 'metre', 'gas', 'year']","['access', 'world', 'hectare', 'person', 'territory', 'world', 'average', 'hectare', 'person', 'hectare', 'person', 'footprint', 'consumption', 'time', 'result', 'deficit', 'diplomat', 'talk', 'volume', 'gas', 'concern', 'deal', 'metre', 'gas', 'year']","['mean', 'use', 'contain', 'run', 'hold', 'secure', 'stoke', 'send']","['mean', 'use', 'contain', 'run', 'hold', 'secure', 'stoke', 'send']","['low', 'average', 'global', 'global', 'global', 'ecological', 'large', 'algerian', 'additional', 'cubic']","['low', 'average', 'global', 'global', 'global', 'ecological', 'large', 'algerian', 'additional', 'cubic']"
Rome,Madrid,6,"Access to biocapacity in Algeria is lower than world average. In 2016, Algeria had 0.53 global hectares of biocapacity per person within its territory, much less than the world average of 1.6 global hectares per person. In 2016, Algeria used 2.4 global hectares of biocapacity per person - their ecological footprint of consumption. This means they use just under 4.5 times as much biocapacity as Algeria contains. As a result, Algeria is running a biocapacity deficit. In April 2022, diplomats from Italy and Spain held talks after Rome's move to secure large volume of Algerian gas stoked concerns in Madrid. Under the deal between Algeria's Sonatrach and Italy's Eni, Algeria will send an additional 9 billion cubic metres of gas to Italy by next year and in 2024.",358,Algeria,"['access', 'biocapacity', 'world', 'hectare', 'biocapacity', 'person', 'territory', 'world', 'average', 'hectare', 'person', 'hectare', 'biocapacity', 'person', 'footprint', 'consumption', 'time', 'biocapacity', 'result', 'biocapacity', 'deficit', 'diplomat', 'talk', 'volume', 'gas', 'concern', 'deal', 'metre', 'gas', 'year']","['access', 'world', 'hectare', 'person', 'territory', 'world', 'average', 'hectare', 'person', 'hectare', 'person', 'footprint', 'consumption', 'time', 'result', 'deficit', 'diplomat', 'talk', 'volume', 'gas', 'concern', 'deal', 'metre', 'gas', 'year']","['mean', 'use', 'contain', 'run', 'hold', 'secure', 'stoke', 'send']","['mean', 'use', 'contain', 'run', 'hold', 'secure', 'stoke', 'send']","['low', 'average', 'global', 'global', 'global', 'ecological', 'large', 'algerian', 'additional', 'cubic']","['low', 'average', 'global', 'global', 'global', 'ecological', 'large', 'algerian', 'additional', 'cubic']"
Madrid,Berlin,7,"Similar organizations in other countries followed: The Anthropological Society of Madrid (1865), the American Anthropological Association in 1902, the Anthropological Society of Vienna (1870), the Italian Society of Anthropology and Ethnology (1871), and many others subsequently. The majority of these were evolutionists. One notable exception was the Berlin Society for Anthropology, Ethnology, and Prehistory (1869) founded by Rudolph Virchow, known for his vituperative attacks on the evolutionists. Not religious himself, he insisted that Darwin's conclusions lacked empirical foundation.",569,Anthropology,"['organization', 'country', 'majority', 'evolutionist', 'exception', 'attack', 'evolutionist', 'conclusion', 'foundation']","['organization', 'country', 'majority', 'evolutionist', 'exception', 'attack', 'evolutionist', 'conclusion', 'foundation']","['follow', 'found', 'know', 'insist', 'lack']","['follow', 'found', 'know', 'insist', 'lack']","['similar', 'notable', 'vituperative', 'religious', 'empirical']","['similar', 'notable', 'vituperative', 'religious', 'empirical']"
Madrid,Vienna,8,"Similar organizations in other countries followed: The Anthropological Society of Madrid (1865), the American Anthropological Association in 1902, the Anthropological Society of Vienna (1870), the Italian Society of Anthropology and Ethnology (1871), and many others subsequently. The majority of these were evolutionists. One notable exception was the Berlin Society for Anthropology, Ethnology, and Prehistory (1869) founded by Rudolph Virchow, known for his vituperative attacks on the evolutionists. Not religious himself, he insisted that Darwin's conclusions lacked empirical foundation.",569,Anthropology,"['organization', 'country', 'majority', 'evolutionist', 'exception', 'attack', 'evolutionist', 'conclusion', 'foundation']","['organization', 'country', 'majority', 'evolutionist', 'exception', 'attack', 'evolutionist', 'conclusion', 'foundation']","['follow', 'found', 'know', 'insist', 'lack']","['follow', 'found', 'know', 'insist', 'lack']","['similar', 'notable', 'vituperative', 'religious', 'empirical']","['similar', 'notable', 'vituperative', 'religious', 'empirical']"
Berlin,Madrid,9,"Similar organizations in other countries followed: The Anthropological Society of Madrid (1865), the American Anthropological Association in 1902, the Anthropological Society of Vienna (1870), the Italian Society of Anthropology and Ethnology (1871), and many others subsequently. The majority of these were evolutionists. One notable exception was the Berlin Society for Anthropology, Ethnology, and Prehistory (1869) founded by Rudolph Virchow, known for his vituperative attacks on the evolutionists. Not religious himself, he insisted that Darwin's conclusions lacked empirical foundation.",569,Anthropology,"['organization', 'country', 'majority', 'evolutionist', 'exception', 'attack', 'evolutionist', 'conclusion', 'foundation']","['organization', 'country', 'majority', 'evolutionist', 'exception', 'attack', 'evolutionist', 'conclusion', 'foundation']","['follow', 'found', 'know', 'insist', 'lack']","['follow', 'found', 'know', 'insist', 'lack']","['similar', 'notable', 'vituperative', 'religious', 'empirical']","['similar', 'notable', 'vituperative', 'religious', 'empirical']"
Berlin,Vienna,10,"Similar organizations in other countries followed: The Anthropological Society of Madrid (1865), the American Anthropological Association in 1902, the Anthropological Society of Vienna (1870), the Italian Society of Anthropology and Ethnology (1871), and many others subsequently. The majority of these were evolutionists. One notable exception was the Berlin Society for Anthropology, Ethnology, and Prehistory (1869) founded by Rudolph Virchow, known for his vituperative attacks on the evolutionists. Not religious himself, he insisted that Darwin's conclusions lacked empirical foundation.",569,Anthropology,"['organization', 'country', 'majority', 'evolutionist', 'exception', 'attack', 'evolutionist', 'conclusion', 'foundation']","['organization', 'country', 'majority', 'evolutionist', 'exception', 'attack', 'evolutionist', 'conclusion', 'foundation']","['follow', 'found', 'know', 'insist', 'lack']","['follow', 'found', 'know', 'insist', 'lack']","['similar', 'notable', 'vituperative', 'religious', 'empirical']","['similar', 'notable', 'vituperative', 'religious', 'empirical']"
