index,Paris,London,Madrid,Berlin,Milan,Barcelona,Athens,Rome,Birmingham,Lisbon,Naples,Katowice,Manchester,Hamburg,Budapest,Bucharest,Warsaw,Stuttgart,Vienna,Munich,Brussels,Stockholm,Frankfurt,Cologne,Copenhagen,Valencia,Turin,Glasgow,Prague,Lyon,Sofia,Liverpool,Porto,Seville,Dublin,Helsinki,Amsterdam,Rotterdam,Dusseldorf,Essen-Oberhausen,Lille,Lodz,Marseille,Antwerp,Bilbao,Newcastle,Krakow,Bochum-Herne,Thessaloniki,Nuremberg,Riga,Duisburg,Dortmund,Hanover,Zurich,Oslo,Bremen,Dresden,Sheffield,Palermo,Poznan,Gelsenkirchen-Bottrop,Bordeaux,Wroclaw,Gothenburg,Zaragoza,Genoa,Catania,The Hague,Toulouse,Bristol,Vilnius,Saarbrucken,Malaga,Nantes,Leeds,Nottingham,Florence,Gdansk,Leipzig,Mannheim,Belfast,Portsmouth,Venice,Edinburgh,Murcia,Nice,Liege,Bratislava,Leicester,Karlsruhe,Bergamo,Palma de Mallorca,Bologna,Bielefeld,Rouen,Strasbourg,Tallinn,Szczecin,Grenoble,Bari,Toulon,Brighton,Darmstadt,Wuppertal,Utrecht,Bournemouth,Middlesbrough,Geneva,Bydgoszcz,Basel,Kaunas,Brno,Southampton,Lens,Augsburg,Padua,Ostrava,Las Palmas,Constanta,Castellammare di Stabia-Torre Annunziata,Stoke,Santa Cruz de Tenerife,Lublin,Cardiff,Iasi,Plovdiv,Bradford,Alicante,Cluj-Napoca,Granada,Timisoara,Brescia,Galati,Montpellier,Varna,Verona,Busto Arsizio,Valladolid,Eindhoven,Charleroi,Cordoba,A Coruna,Craiova,Caserta,Coventry,Brasov,Bonn,Valletta,Ghent,Gdynia
Paris,0.0,21874.0,3394.0,7899.0,3342.0,2397.0,1249.0,6821.0,525.0,1071.0,1180.0,58.0,972.0,1328.0,1181.0,916.0,1552.0,700.0,5275.0,3075.0,4461.0,1581.0,1616.0,1125.0,1504.0,358.0,925.0,682.0,1649.0,3582.0,511.0,649.0,312.0,351.0,1145.0,575.0,2973.0,567.0,573.0,172.0,1412.0,129.0,2185.0,1211.0,233.0,244.0,435.0,61.0,153.0,225.0,228.0,47.0,144.0,281.0,1567.0,716.0,161.0,821.0,180.0,229.0,125.0,12.0,2218.0,123.0,198.0,105.0,425.0,66.0,647.0,1897.0,334.0,203.0,128.0,110.0,995.0,270.0,151.0,1921.0,74.0,954.0,240.0,193.0,108.0,2281.0,1185.0,41.0,2022.0,653.0,162.0,207.0,256.0,82.0,23.0,699.0,51.0,1251.0,1679.0,95.0,14.0,677.0,59.0,380.0,221.0,186.0,45.0,324.0,55.0,17.0,2566.0,29.0,801.0,95.0,99.0,157.0,194.0,130.0,226.0,14.0,33.0,32.0,2.0,35.0,8.0,72.0,201.0,195.0,40.0,104.0,48.0,112.0,177.0,40.0,80.0,34.0,1009.0,54.0,268.0,0.0,73.0,93.0,82.0,78.0,26.0,59.0,11.0,76.0,35.0,545.0,31.0,382.0,19.0
London,21874.0,0.0,2386.0,7668.0,2588.0,1755.0,1647.0,4378.0,7544.0,1090.0,853.0,44.0,10368.0,1853.0,976.0,396.0,1227.0,551.0,4215.0,2345.0,2838.0,1982.0,1748.0,931.0,1530.0,250.0,576.0,5978.0,1386.0,870.0,445.0,7379.0,272.0,273.0,5868.0,751.0,3815.0,878.0,486.0,177.0,261.0,105.0,356.0,976.0,187.0,3307.0,246.0,383.0,145.0,243.0,241.0,59.0,117.0,1041.0,1542.0,1036.0,264.0,635.0,2926.0,189.0,107.0,21.0,451.0,107.0,293.0,53.0,305.0,47.0,631.0,290.0,5358.0,149.0,43.0,147.0,193.0,4091.0,2434.0,2334.0,88.0,806.0,197.0,2001.0,1983.0,2307.0,9493.0,24.0,537.0,215.0,123.0,2938.0,172.0,72.0,42.0,403.0,53.0,211.0,334.0,145.0,24.0,109.0,103.0,95.0,4126.0,123.0,60.0,322.0,895.0,349.0,1698.0,23.0,588.0,38.0,110.0,2263.0,48.0,85.0,133.0,31.0,51.0,13.0,3.0,1216.0,14.0,50.0,2850.0,16.0,24.0,1532.0,62.0,89.0,494.0,23.0,64.0,12.0,182.0,37.0,216.0,0.0,51.0,136.0,33.0,80.0,33.0,13.0,12.0,1485.0,11.0,439.0,62.0,268.0,23.0
Madrid,3394.0,2386.0,0.0,1075.0,1176.0,5267.0,322.0,1531.0,105.0,756.0,314.0,19.0,843.0,361.0,205.0,137.0,262.0,326.0,728.0,902.0,623.0,298.0,342.0,153.0,250.0,1869.0,171.0,120.0,323.0,300.0,594.0,551.0,363.0,1042.0,240.0,138.0,552.0,156.0,102.0,39.0,69.0,15.0,209.0,171.0,1058.0,105.0,57.0,10.0,28.0,47.0,44.0,12.0,229.0,32.0,284.0,149.0,90.0,129.0,38.0,99.0,25.0,6.0,181.0,25.0,41.0,900.0,129.0,31.0,94.0,135.0,63.0,30.0,15.0,743.0,45.0,103.0,51.0,252.0,15.0,105.0,20.0,37.0,28.0,348.0,127.0,466.0,120.0,49.0,44.0,62.0,26.0,26.0,98.0,192.0,9.0,19.0,149.0,36.0,7.0,27.0,26.0,14.0,33.0,36.0,9.0,62.0,14.0,39.0,247.0,1.0,167.0,21.0,20.0,51.0,25.0,21.0,30.0,11.0,231.0,5.0,0.0,39.0,69.0,4.0,58.0,10.0,10.0,14.0,321.0,38.0,660.0,15.0,24.0,4.0,76.0,9.0,99.0,0.0,715.0,75.0,11.0,446.0,140.0,7.0,17.0,14.0,2.0,87.0,8.0,50.0,2.0
Berlin,7899.0,7668.0,1075.0,0.0,964.0,899.0,561.0,2130.0,280.0,419.0,304.0,66.0,416.0,4309.0,1093.0,403.0,1440.0,1583.0,5518.0,5120.0,1346.0,1122.0,3244.0,2020.0,1055.0,136.0,270.0,319.0,1821.0,260.0,434.0,238.0,91.0,120.0,412.0,479.0,1802.0,455.0,1207.0,560.0,101.0,143.0,173.0,292.0,99.0,79.0,343.0,252.0,107.0,770.0,385.0,201.0,435.0,923.0,1584.0,540.0,928.0,2602.0,92.0,135.0,311.0,93.0,141.0,370.0,161.0,22.0,91.0,22.0,362.0,110.0,146.0,177.0,202.0,50.0,73.0,122.0,56.0,539.0,167.0,3415.0,513.0,102.0,33.0,1110.0,567.0,22.0,175.0,102.0,158.0,42.0,578.0,30.0,31.0,221.0,255.0,43.0,447.0,153.0,170.0,67.0,22.0,22.0,94.0,379.0,150.0,155.0,34.0,8.0,672.0,127.0,672.0,95.0,133.0,50.0,25.0,233.0,45.0,29.0,29.0,14.0,0.0,13.0,6.0,89.0,77.0,76.0,30.0,40.0,22.0,78.0,65.0,24.0,17.0,12.0,94.0,26.0,135.0,0.0,16.0,66.0,8.0,24.0,7.0,11.0,6.0,38.0,15.0,1589.0,7.0,109.0,41.0
Milan,3342.0,2588.0,1176.0,964.0,0.0,1069.0,281.0,3837.0,113.0,249.0,1652.0,8.0,594.0,291.0,228.0,104.0,197.0,174.0,1183.0,840.0,504.0,265.0,303.0,230.0,240.0,204.0,1816.0,99.0,466.0,275.0,127.0,505.0,233.0,121.0,150.0,105.0,459.0,118.0,102.0,40.0,68.0,10.0,235.0,130.0,56.0,94.0,42.0,11.0,59.0,42.0,40.0,25.0,118.0,26.0,439.0,109.0,92.0,128.0,59.0,575.0,33.0,14.0,110.0,20.0,39.0,54.0,1386.0,249.0,61.0,70.0,37.0,26.0,13.0,41.0,45.0,106.0,36.0,1617.0,18.0,112.0,38.0,35.0,67.0,2226.0,105.0,14.0,215.0,129.0,90.0,63.0,36.0,743.0,11.0,1302.0,10.0,28.0,103.0,35.0,4.0,35.0,280.0,15.0,31.0,37.0,4.0,55.0,9.0,30.0,338.0,2.0,197.0,6.0,52.0,46.0,20.0,41.0,421.0,23.0,15.0,5.0,8.0,25.0,1.0,5.0,41.0,9.0,18.0,23.0,13.0,29.0,36.0,21.0,643.0,7.0,36.0,15.0,784.0,51.0,16.0,101.0,11.0,37.0,4.0,23.0,21.0,17.0,6.0,49.0,14.0,36.0,1.0
Barcelona,2397.0,1755.0,5267.0,899.0,1069.0,0.0,426.0,827.0,160.0,412.0,320.0,13.0,868.0,280.0,196.0,84.0,155.0,191.0,493.0,785.0,369.0,209.0,251.0,158.0,219.0,1679.0,136.0,106.0,230.0,287.0,171.0,473.0,269.0,506.0,163.0,121.0,509.0,163.0,96.0,27.0,65.0,14.0,223.0,102.0,770.0,113.0,50.0,11.0,43.0,20.0,46.0,18.0,148.0,16.0,256.0,133.0,62.0,92.0,44.0,123.0,23.0,9.0,128.0,27.0,72.0,706.0,207.0,32.0,55.0,295.0,35.0,26.0,5.0,485.0,55.0,99.0,57.0,211.0,27.0,77.0,29.0,38.0,40.0,327.0,121.0,224.0,141.0,40.0,72.0,35.0,31.0,23.0,144.0,168.0,14.0,18.0,78.0,43.0,3.0,36.0,35.0,85.0,22.0,30.0,8.0,46.0,13.0,29.0,207.0,3.0,145.0,17.0,52.0,70.0,15.0,18.0,21.0,15.0,170.0,8.0,1.0,49.0,51.0,3.0,40.0,4.0,6.0,15.0,233.0,11.0,344.0,9.0,25.0,3.0,147.0,13.0,78.0,0.0,306.0,87.0,10.0,261.0,69.0,8.0,5.0,21.0,1.0,52.0,21.0,36.0,1.0
Athens,1249.0,1647.0,322.0,561.0,281.0,426.0,0.0,1170.0,115.0,137.0,200.0,7.0,169.0,112.0,202.0,150.0,129.0,74.0,401.0,357.0,225.0,176.0,135.0,57.0,155.0,57.0,81.0,76.0,207.0,67.0,255.0,105.0,85.0,50.0,127.0,145.0,202.0,50.0,39.0,19.0,33.0,12.0,65.0,43.0,28.0,31.0,30.0,8.0,1490.0,21.0,51.0,5.0,11.0,32.0,145.0,96.0,32.0,48.0,45.0,46.0,26.0,3.0,43.0,15.0,48.0,19.0,54.0,27.0,45.0,19.0,42.0,31.0,8.0,26.0,14.0,45.0,21.0,188.0,13.0,79.0,14.0,18.0,35.0,295.0,119.0,15.0,44.0,21.0,38.0,21.0,20.0,8.0,15.0,66.0,5.0,5.0,57.0,32.0,5.0,15.0,34.0,29.0,28.0,17.0,3.0,19.0,5.0,4.0,130.0,4.0,54.0,11.0,18.0,24.0,13.0,6.0,18.0,10.0,6.0,12.0,0.0,11.0,1.0,5.0,23.0,9.0,30.0,50.0,15.0,23.0,15.0,2.0,11.0,5.0,20.0,31.0,49.0,0.0,3.0,29.0,5.0,15.0,4.0,4.0,12.0,22.0,6.0,63.0,16.0,22.0,4.0
Rome,6821.0,4378.0,1531.0,2130.0,3837.0,827.0,1170.0,0.0,153.0,474.0,3694.0,23.0,230.0,411.0,421.0,235.0,457.0,306.0,1801.0,1078.0,854.0,479.0,403.0,470.0,400.0,179.0,1526.0,175.0,614.0,456.0,200.0,186.0,247.0,230.0,517.0,205.0,691.0,149.0,168.0,43.0,96.0,26.0,268.0,423.0,54.0,60.0,218.0,12.0,117.0,131.0,86.0,10.0,27.0,75.0,449.0,203.0,93.0,298.0,57.0,704.0,67.0,4.0,162.0,50.0,53.0,64.0,1085.0,261.0,189.0,229.0,101.0,111.0,20.0,39.0,68.0,61.0,64.0,3885.0,33.0,244.0,36.0,63.0,22.0,3166.0,311.0,32.0,264.0,201.0,67.0,65.0,61.0,212.0,10.0,1776.0,11.0,108.0,216.0,46.0,6.0,77.0,361.0,31.0,54.0,44.0,16.0,167.0,18.0,8.0,643.0,21.0,209.0,28.0,33.0,42.0,13.0,158.0,605.0,17.0,11.0,12.0,11.0,46.0,2.0,42.0,54.0,29.0,20.0,45.0,28.0,77.0,84.0,21.0,299.0,5.0,86.0,25.0,569.0,6.0,71.0,26.0,5.0,95.0,5.0,8.0,92.0,24.0,8.0,226.0,98.0,120.0,11.0
Birmingham,525.0,7544.0,105.0,280.0,113.0,160.0,115.0,153.0,0.0,35.0,21.0,5.0,3554.0,82.0,43.0,12.0,40.0,62.0,140.0,127.0,108.0,93.0,101.0,51.0,79.0,23.0,28.0,1123.0,76.0,50.0,34.0,2015.0,17.0,11.0,420.0,43.0,138.0,63.0,28.0,14.0,25.0,5.0,20.0,40.0,14.0,1036.0,11.0,11.0,11.0,14.0,10.0,2.0,28.0,25.0,57.0,66.0,13.0,28.0,1331.0,10.0,7.0,0.0,21.0,7.0,30.0,6.0,13.0,2.0,22.0,16.0,1701.0,5.0,3.0,16.0,13.0,1409.0,1152.0,149.0,8.0,52.0,6.0,358.0,428.0,47.0,898.0,4.0,27.0,18.0,8.0,861.0,14.0,7.0,5.0,16.0,6.0,9.0,28.0,6.0,3.0,9.0,6.0,3.0,517.0,5.0,7.0,11.0,333.0,341.0,46.0,2.0,21.0,4.0,7.0,572.0,11.0,2.0,3.0,4.0,12.0,1.0,0.0,673.0,0.0,4.0,1032.0,0.0,3.0,505.0,8.0,3.0,43.0,2.0,4.0,1.0,12.0,2.0,12.0,0.0,4.0,16.0,1.0,3.0,0.0,1.0,1.0,1390.0,1.0,22.0,3.0,17.0,1.0
Lisbon,1071.0,1090.0,756.0,419.0,249.0,412.0,137.0,474.0,35.0,0.0,188.0,4.0,113.0,146.0,142.0,69.0,102.0,52.0,326.0,168.0,279.0,157.0,103.0,71.0,150.0,101.0,79.0,78.0,139.0,76.0,109.0,131.0,1145.0,173.0,132.0,94.0,303.0,87.0,34.0,10.0,29.0,6.0,78.0,73.0,58.0,24.0,20.0,5.0,20.0,26.0,22.0,5.0,12.0,32.0,106.0,68.0,26.0,45.0,17.0,50.0,4.0,2.0,113.0,7.0,19.0,30.0,115.0,12.0,51.0,40.0,69.0,15.0,3.0,59.0,28.0,30.0,8.0,96.0,12.0,32.0,13.0,23.0,108.0,191.0,86.0,9.0,102.0,22.0,24.0,6.0,9.0,11.0,14.0,89.0,8.0,11.0,51.0,14.0,3.0,11.0,9.0,59.0,12.0,21.0,6.0,15.0,4.0,9.0,114.0,2.0,40.0,2.0,8.0,68.0,0.0,10.0,38.0,1.0,34.0,4.0,0.0,6.0,3.0,1.0,13.0,4.0,2.0,11.0,32.0,8.0,40.0,5.0,6.0,1.0,13.0,6.0,28.0,0.0,44.0,17.0,1.0,49.0,27.0,2.0,2.0,5.0,0.0,33.0,7.0,20.0,4.0
