city_A;city_B;POP_A;POP_B;CC_A;CC_B;distance;collocation_en;collocation_fr;geometry_A;geometry_B
Paris;London;9591;8256;FR;UK;342.7198407546638;21874.0;10733.0;POINT (3760015.3675289643 2889948.695436823);POINT (3623219.5660316576 3204183.9543426493)
Paris;Madrid;9591;4955;FR;ES;1047.1055206294939;3394.0;2404.0;POINT (3760015.3675289643 2889948.695436823);POINT (3161798.323620744 2030549.8708446121)
Paris;Berlin;9591;3776;FR;DE;879.8359161720159;7899.0;4723.0;POINT (3760015.3675289643 2889948.695436823);POINT (4552085.152549347 3273010.955446884)
Paris;Milan;9591;3698;FR;IT;640.6851614937534;3342.0;2713.0;POINT (3760015.3675289643 2889948.695436823);POINT (4256391.190908817 2484870.2855921974)
Paris;Barcelona;9591;3659;FR;ES;827.8137779207144;2397.0;1696.0;POINT (3760015.3675289643 2889948.695436823);POINT (3664331.1179199964 2067683.4248020148)
Paris;Athens;9591;3331;FR;GR;2096.025767399245;1249.0;957.0;POINT (3760015.3675289643 2889948.695436823);POINT (5528465.4952996895 1764822.8521689244)
Paris;Rome;9591;2532;FR;IT;1108.9507629766335;6821.0;6116.0;POINT (3760015.3675289643 2889948.695436823);POINT (4528992.1272545615 2090920.199256381)
Paris;Birmingham;9591;2363;FR;UK;501.09555433608364;525.0;171.0;POINT (3760015.3675289643 2889948.695436823);POINT (3518316.7827232135 3328900.34274924)
Paris;Lisbon;9591;2315;FR;PT;1444.5355010595267;1071.0;807.0;POINT (3760015.3675289643 2889948.695436823);POINT (2665767.6161456397 1946919.1771216032)
Paris;Naples;9591;2308;FR;IT;1293.5638262275543;1180.0;979.0;POINT (3760015.3675289643 2889948.695436823);POINT (4682976.23995177 1983609.575404479)
Paris;Katowice;9591;2279;FR;PL;1214.1657669687584;58.0;27.0;POINT (3760015.3675289643 2889948.695436823);POINT (4962786.714050763 3055899.2834591973)
Paris;Manchester;9591;2207;FR;UK;602.7402785635741;972.0;401.0;POINT (3760015.3675289643 2889948.695436823);POINT (3511362.3099997453 3439009.257109455)
Paris;Hamburg;9591;2123;FR;DE;746.4175879832528;1328.0;792.0;POINT (3760015.3675289643 2889948.695436823);POINT (4320799.114478028 3382554.8310142285)
Paris;Budapest;9591;2123;FR;HU;1251.2766816267986;1181.0;827.0;POINT (3760015.3675289643 2889948.695436823);POINT (5003611.393716239 2751520.8888581204)
Paris;Bucharest;9591;2064;FR;RO;1873.8199324775042;916.0;549.0;POINT (3760015.3675289643 2889948.695436823);POINT (5594352.112775397 2507313.301897851)
Paris;Warsaw;9591;2004;FR;PL;1369.6254099481762;1552.0;1019.0;POINT (3760015.3675289643 2889948.695436823);POINT (5069124.166621462 3292574.968442333)
Paris;Stuttgart;9591;1735;FR;DE;501.98684840927666;700.0;430.0;POINT (3760015.3675289643 2889948.695436823);POINT (4260544.964656388 2851726.733486438)
Paris;Vienna;9591;1674;FR;AT;1037.5399224643531;5275.0;4115.0;POINT (3760015.3675289643 2889948.695436823);POINT (4794407.499023647 2809189.7392200483)
Paris;Munich;9591;1647;FR;DE;686.9098043812573;3075.0;1861.0;POINT (3760015.3675289643 2889948.695436823);POINT (4438343.897741209 2781710.60392005)
Paris;Brussels;9591;1498;FR;BE;263.92485460488683;4461.0;5860.0;POINT (3760015.3675289643 2889948.695436823);POINT (3923665.858094202 3097011.1155327153)
Paris;Stockholm;9591;1479;FR;SE;1542.4656807881126;1581.0;912.0;POINT (3760015.3675289643 2889948.695436823);POINT (4782193.104296982 4045090.7000686987)
Paris;Frankfurt;9591;1462;FR;DE;479.6920497130541;1616.0;1031.0;POINT (3760015.3675289643 2889948.695436823);POINT (4226749.879839458 3000688.740480146)
Paris;Cologne;9591;1398;FR;DE;403.86011642768983;1125.0;840.0;POINT (3760015.3675289643 2889948.695436823);POINT (4107175.397325233 3096304.9586149515)
Paris;Copenhagen;9591;1360;FR;DK;1028.6104264210312;1504.0;618.0;POINT (3760015.3675289643 2889948.695436823);POINT (4482724.979132563 3621884.63979113)
Paris;Valencia;9591;1318;FR;ES;1062.6061072976995;358.0;704.0;POINT (3760015.3675289643 2889948.695436823);POINT (3426560.4904797557 1881018.7750565882)
Paris;Turin;9591;1309;FR;IT;584.7779115338196;925.0;1019.0;POINT (3760015.3675289643 2889948.695436823);POINT (4137738.423406919 2443529.0510705886)
Paris;Glasgow;9591;1228;FR;UK;892.5905347788245;682.0;251.0;POINT (3760015.3675289643 2889948.695436823);POINT (3434647.3366572307 3721124.6739536463)
Paris;Prague;9591;1175;FR;CZ;884.6548155058697;1649.0;963.0;POINT (3760015.3675289643 2889948.695436823);POINT (4636961.50291817 3006480.3144235243)
Paris;Lyon;9591;1175;FR;FR;392.09225880229394;3582.0;12977.0;POINT (3760015.3675289643 2889948.695436823);POINT (3918683.0705696233 2531394.7951310445)
Paris;Sofia;9591;1174;FR;BG;1760.6204970583835;511.0;305.0;POINT (3760015.3675289643 2889948.695436823);POINT (5409030.726550773 2273075.223505759)
Paris;Liverpool;9591;1170;FR;UK;625.7773132264347;649.0;214.0;POINT (3760015.3675289643 2889948.695436823);POINT (3467423.281042724 3443109.717811433)
Paris;Porto;9591;1163;FR;PT;1207.7157237368215;312.0;366.0;POINT (3760015.3675289643 2889948.695436823);POINT (2769286.987753972 2199271.81956101)
Paris;Seville;9591;1082;FR;ES;1433.112123104085;351.0;340.0;POINT (3760015.3675289643 2889948.695436823);POINT (2906881.2188725593 1738439.9105010724)
