MUA;POP;CC;WEST;SOUTH;NORTH;CEAST;REGION;EN_DUM;FR_DUM;en_degree;fr_degree;en_deg_prop;fr_deg_prop;fr_pred;en_pred;fr_res;en_res;fr_estim;en_estim
Utrecht;390;NL;1;0;0;0;west;0;0;6156;3100;0.5898248883107706;0.5162059528537416;220.21299477334824;297.3768668557569;29.01950433160771;34.18929256938318;13.18;11.5
Eindhoven;316;NL;1;0;0;0;west;0;0;2889;1569;0.2768037853037374;0.2612668193637154;185.47680498562875;255.34513957051377;17.982677746560313;10.609184176885403;9.7;4.15
Amsterdam;1052;NL;1;0;0;0;west;0;0;31807;15897;3.047524402615457;2.647137429843858;377.4872604454097;474.0410579001273;107.7338730141351;118.82596250320968;28.54;25.07
Rotterdam;1025;NL;1;0;0;0;west;0;0;11199;5337;1.0730098967174029;0.8887068291549762;365.5001948533793;456.38953041801375;-28.17605512099599;-9.660148779122299;-7.71;-2.12
Poznan;679;PL;0;0;0;1;central_east;0;0;5942;1904;0.5693209042141979;0.3170503658817818;259.7337878750841;339.8568028466092;-63.653443625532276;-51.532565789992006;-24.51;-15.16
Warsaw;2004;PL;0;0;0;1;central_east;0;0;22109;9104;2.118329833603456;1.5159803208969274;406.64222115692604;510.6790008528081;-6.207049298233522;9.915377677153872;-1.53;1.94
Gdansk;519;PL;0;0;0;1;central_east;0;0;4319;1280;0.4138163893135516;0.21314310311380233;200.62885010975003;272.59427049440154;-41.954952800921696;-24.513283071828305;-20.91;-8.99
Krakow;807;PL;0;0;0;1;central_east;0;0;9418;3886;0.9023669262688185;0.6470891396095625;283.279782825897;370.7109626527095;-21.64595775297631;-8.773333058576053;-7.64;-2.37
Lublin;354;PL;0;0;0;1;central_east;0;0;2731;1009;0.2616653297558019;0.1680167117514276;114.74890485105638;163.2247739434914;-18.529080328794365;-13.053904384177066;-16.15;-8.0
Wroclaw;634;PL;0;0;0;1;central_east;0;0;5097;1555;0.4883589109356725;0.2589355666734091;247.0545715108232;323.2817587254171;-74.41507688171885;-35.349896405573766;-30.12;-10.93
Szczecin;416;PL;0;0;0;1;central_east;0;0;1989;642;0.1905720764863751;0.10690458765551665;140.7637420335823;187.18003180790996;-51.950894089542814;-45.95587644270541;-36.91;-24.55
Lodz;919;PL;0;0;0;1;central_east;0;0;4350;1573;0.4167865926172604;0.2619328915609471;255.92729180017594;325.83653258951074;-111.60059736046162;-97.10531922698192;-43.61;-29.8
Katowice;2279;PL;0;0;0;1;central_east;0;0;2299;730;0.2202741095234666;0.12155817599459023;287.76182874753613;349.7239971278214;-185.9596070861589;-174.9706569467357;-64.62;-50.03
Brasov;307;RO;0;0;0;1;central_east;0;0;1541;376;0.14764784809728718;0.06261078653967948;72.756452185122;104.79516926358451;-31.48098867662917;-18.913894607143305;-43.27;-18.05
Bucharest;2064;RO;0;0;0;1;central_east;0;0;10202;4475;0.9774843259497226;0.7451682706517729;364.2383086966151;463.13072961420363;-40.41878077098943;-56.91967009287164;-11.1;-12.29
Cluj-Napoca;332;RO;0;0;0;1;central_east;0;0;5284;1427;0.5062759437677248;0.23762125636202847;118.70469853600999;177.78578018485302;38.86303522470166;63.65943906682797;32.74;35.81
Craiova;311;RO;0;0;0;1;central_east;0;0;1437;390;0.1376832950783913;0.06494203922998683;74.40486909646786;110.35197487277797;-24.88400030933883;-24.488485966533105;-33.44;-22.19
Galati;325;RO;0;0;0;1;central_east;0;0;1007;279;0.09648370086565074;0.046458535756836436;69.74998327504963;100.07527164641685;-22.931514819129834;-26.389197796475134;-32.88;-26.37
Iasi;349;RO;0;0;0;1;central_east;0;0;2692;597;0.2579286223737163;0.0994112754366722;85.16466710880786;124.50522808384652;-20.523666320819355;-0.4372580525603693;-24.1;-0.35
Timisoara;328;RO;0;0;0;1;central_east;0;0;2215;589;0.2122258167005131;0.09807913104221094;102.67052238509577;150.75838226012496;-29.699294200849646;-14.029889434493587;-28.93;-9.31
Charleroi;314;BE;1;0;0;0;west;0;1;1279;3035;0.12254483953045424;0.505382279648745;160.9111868864789;220.41651128538362;8.586437132218006;-90.63835458383946;5.34;-41.12
Bydgoszcz;383;PL;0;0;0;1;central_east;0;0;1613;468;0.154546384802676;0.0779304470759838;126.43068990088896;170.55108321830758;-52.27239611297587;-65.24614471054305;-41.34;-38.26
Munich;1647;DE;1;0;0;0;west;0;0;44445;21051;4.258409220430855;3.505371455975535;456.47325720231265;569.8477988849766;74.16439382591285;77.00964270695985;16.25;13.51
Bremen;709;DE;1;0;0;0;west;0;0;8921;3306;0.854747860399674;0.5505086710111194;310.94575784657775;400.91039891751274;-43.77592869645438;-29.855307295633544;-14.08;-7.45
Lens;374;FR;1;0;0;0;west;0;1;1427;3634;0.1367251649804198;0.6051265911840332;191.36181412528228;257.97954183027633;-1.3839365721594672;-93.84368648165716;-0.72;-36.38
Lyon;1175;FR;1;0;0;0;west;0;1;15543;41856;1.4892216112758827;6.969779471821396;373.78243930823214;473.399546798547;99.10647516818771;-6.83537589367751;26.51;-1.44
Paris;9591;FR;1;0;0;0;west;0;1;133309;143167;12.772736523037857;23.839889565229704;666.9170904508832;795.648874203829;115.02746412223055;37.52885692082334;17.25;4.72
Dublin;1070;IE;1;0;0;0;west;1;0;21958;4105;2.1038620691240997;0.6835565924079393;304.16507342245933;393.87066218858405;2.8728052068158574;92.10890177755415;0.94;23.39
Porto;1163;PT;0;1;0;0;south;0;0;6365;4359;0.6098498073583581;0.725852176932084;281.3627767065366;373.64243091896356;35.08971869484692;8.406226732034067;12.47;2.25
Lisbon;2315;PT;0;1;0;0;south;0;0;12464;7150;1.1942133541106987;1.190604052549761;364.8106856068629;469.27631659608517;26.362682616238104;5.00361599531904;7.23;1.07
Cardiff;353;UK;1;0;0;0;west;1;0;16303;1729;1.562039498721659;0.2879097072529414;187.93731935704795;262.72809446057727;-3.385437725910994;72.45124055759959;-1.8;27.58
Southampton;376;UK;1;0;0;0;west;1;0;14952;1714;1.4325961224858157;0.28541193651332664;198.7239256900804;272.22988724756465;-15.170078989968768;62.62335451125912;-7.63;23.0
Portsmouth;500;UK;1;0;0;0;west;1;0;10721;1110;1.0272112780344043;0.18483503473150042;219.77176752519165;292.1433294888275;-66.2517828799788;6.540559157099929;-30.15;2.24
Brighton;410;UK;1;0;0;0;west;1;0;13111;1181;1.2562043714494062;0.19665781623234438;202.7105185430489;270.9421195649256;-62.53552032751372;20.60081972023359;-30.85;7.6
